date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:03	40367/40367	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:02%20GMT	https://mir2.mironline.co.kr/main	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/main.html	(from )
19:09:04	1464/1464	---M--	404	error ('Not%20Found')	text/html	etag:W/%221464-1713315426000%22	https://mir2.mironline.co.kr/robots.txt		(from )
19:09:05	94840/94840	---M--	200	added ('OK')	text/javascript	etag:W/%2294840-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jquery-1.7.2.min.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jquery-1.7.2.min.js	(from https://mir2.mironline.co.kr/main)
19:09:05	25021/25021	---M--	200	added ('OK')	text/css	etag:W/%2225021-1720514639000%22	https://mir2.mironline.co.kr/sitelib/main.css	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/main.css	(from https://mir2.mironline.co.kr/main)
19:09:05	11719/11719	---M--	200	added ('OK')	text/css	etag:W/%2211719-1677724562000%22	https://mir2.mironline.co.kr/sitelib/contents_new.css	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/contents_new.css	(from https://mir2.mironline.co.kr/main)
19:09:08	5528/5528	---M--	200	added ('OK')	text/css	etag:%226ca2e0dbf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css	(from https://mir2.mironline.co.kr/main)
19:09:08	13686/13686	---M--	200	added ('OK')	text/javascript	etag:W/%2213686-1677724562000%22	https://mir2.mironline.co.kr/sitelib/common.js?ver=130405	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/commonab8d.js	(from https://mir2.mironline.co.kr/main)
19:09:09	67915/67915	---M--	200	added ('OK')	text/javascript	etag:W/%2267915-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jquery.touchswipe.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jquery.touchswipe.js	(from https://mir2.mironline.co.kr/main)
19:09:09	3748/3748	---M--	200	added ('OK')	text/javascript	etag:W/%223748-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jQuery.fadeslide.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jQuery.fadeslide.js	(from https://mir2.mironline.co.kr/main)
19:09:09	10754/10754	---M--	200	added ('OK')	text/javascript	etag:W/%2210754-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jQuery.slide.navi.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jQuery.slide.navi.js	(from https://mir2.mironline.co.kr/main)
19:09:09	56142/56142	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec6-db4e%22	https://cdnjs.cloudflare.com/ajax/libs/jsencrypt/2.3.1/jsencrypt.min.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/cdnjs.cloudflare.com/ajax/libs/jsencrypt/2.3.1/jsencrypt.min.js	(from https://mir2.mironline.co.kr/main)
19:09:09	14037/14037	---M--	200	added ('OK')	text/javascript	etag:W/%2214037-1713315426000%22	https://mir2.mironline.co.kr/sitelib/onestop/js_gnb_yd.js?ver=20210719	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/onestop/js_gnb_yd3ba1.js	(from https://mir2.mironline.co.kr/main)
19:09:13	33658/33658	---M--	200	added ('OK')	image/jpeg	etag:%2212aded767d61:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/h1_mir2_logo_main.jpg	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/h1_mir2_logo_main.jpg	(from https://mir2.mironline.co.kr/main)
19:09:13	24001/24001	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:11%20GMT	https://mir2.mironline.co.kr/community/mir2noticeAll	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2noticeAll.html	(from https://mir2.mironline.co.kr/main)
19:09:13	23996/23996	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:11%20GMT	https://mir2.mironline.co.kr/community/mir2event	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2event.html	(from https://mir2.mironline.co.kr/main)
19:09:13	31696/31696	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:13%20GMT	https://mir2.mironline.co.kr/ranking/ranking	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/ranking/ranking.html	(from https://mir2.mironline.co.kr/main)
19:09:14	27687/27687	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:14%20GMT	https://mir2.mironline.co.kr/guide/story	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/guide/story.html	(from https://mir2.mironline.co.kr/main)
19:09:15	91506/91506	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:14%20GMT	https://mir2.mironline.co.kr/dic/main	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/dic/main.html	(from https://mir2.mironline.co.kr/main)
19:09:15	24024/24024	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:14%20GMT	https://mir2.mironline.co.kr/community/mir2free	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2free.html	(from https://mir2.mironline.co.kr/main)
19:09:15	24028/24028	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:15%20GMT	https://mir2.mironline.co.kr/community/mir2screen	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2screen.html	(from https://mir2.mironline.co.kr/main)
19:09:15	24024/24024	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:15%20GMT	https://mir2.mironline.co.kr/community/mir2test	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2test.html	(from https://mir2.mironline.co.kr/main)
19:09:16	26964/26964	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:15%20GMT	https://mir2.mironline.co.kr/pds/clientdownload	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/pds/clientdownload.html	(from https://mir2.mironline.co.kr/main)
19:09:16	27037/27037	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:16%20GMT	https://mir2.mironline.co.kr/guide/movieList	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/guide/movieList.html	(from https://mir2.mironline.co.kr/main)
