"Name","IconId","Type","Path","IsMultiLanguage"
"1","1","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Icon_item_exp_Sprite","0"
"2","2","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Coin_B_Sprite","0"
"3","3","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_KRW_Currency_01_Sprite","0"
"4","4","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Gold_B_Sprite","0"
"6","6","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Mileage_B_Sprite","0"
"11","11","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Spirit_B_Sprite","0"
"12","12","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_BlackIron_B_Sprite","0"
"13","13","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Icon_Null_Sprite","0"
"17","17","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Point_Guild_B_Sprite","0"
"18","18","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Icon_SpeedUp_Sprite","0"
"19","19","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_Contribution_Sprite","0"
"20","20","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_SkillStone_B_Sprite","0"
"21","21","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Acient_Token_B_Sprite","0"
"22","22","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Background/Account_Icon_Apple_Sprite","0"
"23","23","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_AdsMoney_B_Sprite","0"
"24","24","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_WonderPoint_Sprite","0"
"25","25","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_DragonSteel_B_Sprite","0"
"30","30","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Background/Account_Icon_Google_Sprite","0"
"31","31","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Background/Account_Icon_Facebook_Sprite","0"
"32","32","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Background/Account_Icon_Guest_Sprite","0"
"33","33","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_KRW_Currency_01_Sprite","0"
"34","34","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Img_Acount_Steam_Sprite","0"
"91","91","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_GuildCoin_B_Sprite","0"
"92","92","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_GuildGoldCoin_B_Sprite","0"
"93","93","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Guild_Stone_B_Sprite","0"
"94","94","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Guild_Spirit_B_Sprite","0"
"99","99","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Ingame/Spr_SmallTalk/NPC_HeavenAdmin_Sprite","0"
"101","101","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Icon_item_exp_Sprite","0"
"102","102","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Coin_Sprite","0"
"103","103","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_silver_Sprite","0"
"104","104","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Gold_Sprite","0"
"106","106","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Mileage_Sprite","0"
"111","111","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Spirit_Sprite","0"
"112","112","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_BlackIron_Sprite","0"
"117","117","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Point_Guild_Sprite","0"
"118","118","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Icon_SpeedUp_Sprite","0"
"119","119","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_Contribution_Sprite","0"
"120","120","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_SkillStone_Sprite","0"
"121","121","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_Acient_Token_Sprite","0"
"122","122","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_AdsMoney_Sprite","0"
"123","123","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_DragonSteel_Sprite","0"
"191","191","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_GuildCoin_Sprite","0"
"192","192","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_Goods_GuildGoldCoin_Sprite","0"
"193","193","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Guild_Stone_B_Sprite","0"
"194","194","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Spr_Consume_01/Ico_Goods_Guild_Spirit_B_Sprite","0"
"152","152","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_TimeTicket_Energy_Sprite","0"
"153","153","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Common/Ico_TimeTicket_Heart_Sprite","0"
"154","154","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Ico_Guild_LevelExp_Sprite","0"
"155","155","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Menu_Battlefield_Sprite","0"
"156","156","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Ico_Guild_LevelExp_Sprite","0"
"157","157","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Ico_Guild_Level_Sprite","0"
"158","158","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Menu_Guild_Growth_Sprite","0"
"159","159","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Global_Image/Spr_Global_Common/Ico_Guild_CoopMission_Sprite","0"
"171","171","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_Chief_Sprite","0"
"172","172","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_Elder_Sprite","0"
"173","173","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_General_Sprite","0"
"174","174","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_newcomer_Sprite","0"
"176","176","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Menu_Friend_Sprite","0"
"177","177","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Ico_HUDMenu_003_Sprite","0"
"178","178","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Ico_HUDMenu_008_Sprite","0"
"179","179","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_BattlePoint_Sprite","0"
"181","181","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Menu_Castle_Sprite","0"
"182","182","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Menu_Battlefield_Sprite","0"
"183","183","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Spr_Symbol_Ico_GameMenu/Menu_Guild_Diplomacy_Sprite","0"
"184","184","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Guild/Icon_Guild_Unlock_StrongPoint_Sprite","0"
"185","185","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Guild/Icon_Guild_Unlock_Seize01_Sprite","0"
"186","186","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Guild/Icon_Guild_Unlock_Seize02_Sprite","0"
"187","187","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Server_Visit_Sprite","0"
"188","188","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Sanctum_Sprite","0"
"189","189","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Guild_commandMark_Sprite","0"
"190","190","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Icon_Conquer_Server_Sprite","0"
"195","195","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Ico_Altar_Sprite","0"
"197","197","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Symbol/Icon_ASSASSIN_Mode_Sprite","0"
"201","201","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade01_Sprite","0"
"202","202","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade02_Sprite","0"
"203","203","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade03_Sprite","0"
"204","204","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade04_Sprite","0"
"205","205","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade05_Sprite","0"
"206","206","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade06_Sprite","0"
"207","207","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"208","208","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"209","209","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"210","210","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"211","211","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade01_Sprite","0"
"212","212","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade02_Sprite","0"
"213","213","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade03_Sprite","0"
"214","214","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade04_Sprite","0"
"215","215","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade05_Sprite","0"
"216","216","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade06_Sprite","0"
"217","217","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade07_Sprite","0"
"218","218","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade07_Sprite","0"
"219","219","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade07_Sprite","0"
"220","220","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade07_Sprite","0"
"231","231","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade01_Sprite","0"
"232","232","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade02_Sprite","0"
"233","233","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade03_Sprite","0"
"234","234","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade04_Sprite","0"
"235","235","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade05_Sprite","0"
"236","236","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade06_Sprite","0"
"237","237","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_Gacha_Grade07_Sprite","0"
"300","300","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Frame_slot_bg_Sprite","0"
"301","301","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade01_Sprite","0"
"302","302","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade02_Sprite","0"
"303","303","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade03_Sprite","0"
"304","304","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade04_Sprite","0"
"305","305","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"306","306","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade06_Sprite","0"
"307","307","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"308","308","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"309","309","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"310","310","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Grade07_Sprite","0"
"401","401","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier01_Sprite","0"
"402","402","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier01_Sprite","0"
"403","403","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier02_Sprite","0"
"404","404","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier03_Sprite","0"
"405","405","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"406","406","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"407","407","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"408","408","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"409","409","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"410","410","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Square_BG_Tier04_Sprite","0"
"501","501","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade01_Sprite","0"
"502","502","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade02_Sprite","0"
"503","503","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade03_Sprite","0"
"504","504","0","/Game/UI/Atlas_N_Pack/Sprites_N/Spr_Icon/Spr_Item/Slot_Round_BG_Grade04_Sprite","0"
