"Name","ItemId","UseId","NameSid","NoteSid","MeshId","Icon","Level","MainType","SubType","SmeltingType","SortOrder","ClassId","ReqClassLevel","Tier","Grade","PET_Origin","SellType","SellPrice","Stackable","CoolTime","BuffId","ItemOptionType","SetGroupId","ReinforceMaxLv","SmeltingMaxCount","JewelUpgradeType","JewelUpgradeCount","RandomGetInfoId","SummonGroupId","CastingType","CastingTime","SummonStageType","ItemCasting","CollectAniType","GetWayId","OverlapEquipAble","UnsealingType","OpenboxRewardType","OpenboxRewardId","RandomGetCnt","Durability","Durability_RepairAble","TradeType","UseTimeType","UseEndType_Period","UseEndType_Minute","Lockable","XDracoDelayMinute","GachaTap","TranceGroup","EquipGroup"
"209200001","209200001","209000001","200209001","210209001","(15)","400000","1","2","1","1","134","0","1","1","1","0","0","5","0","0","(0)","0","0","0","0","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","100","0","0","0","0","0","1","0","0","0","0"
"209200002","209200002","209000002","200209002","210209002","(14)","400000","1","2","1","1","134","0","1","1","1","0","0","5","0","0","(0)","0","0","0","0","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","100","0","0","0","0","0","1","0","0","0","0"
"200101000","200101000","200001000","200201100","210201100","(101101)","230201100","1","2","1","1","134","1","1","1","1","0","0","400","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","69","0","1","0","0","0","1","0","0","0","0"
"200101001","200101001","200001001","200201101","210201101","(101102)","230201101","1","2","1","1","134","1","1","1","1","0","0","400","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","69","0","1","0","0","0","1","0","0","0","0"
"200101002","200101002","200001002","200201102","210201102","(101103)","230201102","1","2","1","2","134","1","1","1","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101003","200101003","200001003","200201103","210201103","(101104)","230201103","1","2","1","3","134","1","1","1","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101004","200101004","200001004","200201104","210201104","(101105)","230201102","1","2","1","2","134","1","1","2","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101005","200101005","200001005","200201105","210201105","(101106)","230201103","1","2","1","3","134","1","1","2","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101006","200101006","200001006","200201106","210201106","(101107)","230201102","1","2","1","2","134","1","1","3","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101007","200101007","200001007","200201107","210201107","(101108)","230201103","1","2","1","3","134","1","1","3","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101008","200101008","200001008","200201108","210201108","(101109)","230201102","1","2","1","2","134","1","1","4","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101009","200101009","200001009","200201109","210201109","(101110)","230201103","1","2","1","3","134","1","1","4","2","0","0","2000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","92","0","1","0","0","0","1","0","0","0","0"
"200101010","200101010","200001010","200201110","210201110","(101111)","230201110","1","2","1","2","134","1","1","1","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101011","200101011","200001011","200201111","210201111","(101112)","230201111","1","2","1","3","134","1","1","1","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101012","200101012","200001012","200201112","210201112","(101113)","230201110","1","2","1","2","134","1","1","2","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101013","200101013","200001013","200201113","210201113","(101114)","230201111","1","2","1","3","134","1","1","2","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101014","200101014","200001014","200201114","210201114","(101115)","230201110","1","2","1","2","134","1","1","3","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101015","200101015","200001015","200201115","210201115","(101116)","230201111","1","2","1","3","134","1","1","3","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101016","200101016","200001016","200201116","210201116","(101117)","230201110","1","2","1","2","134","1","1","4","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101017","200101017","200001017","200201117","210201117","(101118)","230201111","1","2","1","3","134","1","1","4","3","0","0","10000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","115","0","1","0","0","0","1","0","0","0","0"
"200101018","200101018","200001018","200201118","210201118","(101119)","230201118","1","2","1","2","134","1","1","1","4","0","0","50000","0","0","(0)","0","0","0","12","0","0","0","0","0","0","0","0","0","87","0","0","0","0","0","138","0","1","0","0","0","1","0","0","0","0"
