StageId,Money,TimeTicket,ClassItem01,ClassItem02,ClassItem03,ClassItem04,ClassItem05,ClassItem06,ClassItemCountMin01,ClassItemCountMin02,ClassItemCountMin03,ClassItemCountMin04,ClassItemCountMin05,ClassItemCountMin06,ClassItemCountMax01,ClassItemCountMax02,ClassItemCountMax03,ClassItemCountMax04,ClassItemCountMax05,ClassItemCountMax06
3010,"""(12)""","""(0)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(602202658,602202376,602202350,1301201589,602202589,1401200756,1401200757,602200606,602200605,602200604)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10000,"""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10010,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301202010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301203010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301204010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301205010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301206010,1301201408,602202327,901200502,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10011,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302202010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302203010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302204010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302205010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302206010,1301201408,602202327,901200602,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10012,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(301202010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(301203010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(301204010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(301205010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(301206010,1301201408,602202327,901200702,1201200201,508200002,701200202,501200022,517200202,802200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10013,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(302202010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(302203010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(302204010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(302205010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(302206010,1301201408,602202327,901200801,1201200201,508200002,701200103,501200023,517200203,801200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10020,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301202010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301203010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301204010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301205010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(301206010,1301201408,602202327,901200901,1201200201,508200002,701200402,501200022,517200202,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10021,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302202010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302203010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302204010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302205010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(302206010,1301201408,602202327,901201001,1201200201,508200002,701200302,501200022,517200202,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10022,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(301202010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(301203010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(301204010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(301205010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(301206010,1301201408,602202327,901200502,1201200201,508200002,701200202,501200022,517200202,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10023,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202327,210110019,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
