"Name","RowId","AreaId","MiniGroupId","MiniGroupStringId","MiniGroupIcon","MiniGroupCoordinate","MapFunction","MapContentID","GoodsTabAble","DominionIconId","DominionId","TouchPosition_X","TouchPosition_Y","TouchScale_X","TouchScale_Y","MonLevelMin","MonLevelMax","PartyPlay","현재 x","현재 y","변경 x","변경 y","변동 x","변동 y","현재좌표x","현재좌표y","변경좌표x","변경좌표y","최종값","x","y","기준x","기준y","크기x","크기y"
"5","5","1000","1020","910003","910052","(X=71, Y=445)","0","0","1","0","0","-113","-105","245","136","0","0","0","119","435","123","493","4","58","10","388","255","524","(X=255, Y=524)","255","524","-113","-105","245","136"
"6","6","1000","1010","910002","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0, Y=0)","0","0","0","0","0","0"
"7","7","1000","1021","410005","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0, Y=0)","0","0","0","0","0","0"
"8","8","1000","1030","910004","910052","(X=117, Y=562)","0","0","1","0","0","-110","-75","222","164","0","0","0","192","582","170","610","-22","28","60","535","282","699","(X=282, Y=699)","282","699","-110","-75","222","164"
"9","9","1000","1040","910005","910052","(X=490, Y=592)","0","0","1","0","0","-177","-104","327","176","6","13","0","530","582","543","640","13","58","366","536","693","712","(X=693, Y=712)","693","712","-177","-104","327","176"
"10","10","1000","1041","910006","0","(X=0, Y=0)","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0, Y=0)","0","0","0","0","0","0"
"11","11","1000","1050","910008","910052","(X=527, Y=368)","0","0","1","910020","2001","-188","-58","369","167","15","18","0","605","392","580","416","-25","24","392","358","761","525","(X=761, Y=525)","761","525","-188","-58","369","167"
"12","12","1000","1060","910009","910052","(X=669, Y=261)","0","0","1","0","0","-141","-81","285","120","20","27","0","706","295","721","309","15","14","580","228","865","348","(X=865, Y=348)","865","348","-141","-81","285","120"
"13","13","1000","1070","910011","910052","(X=1143, Y=265)","0","0","1","0","0","-104","-64","177","168","19","60","1","1129","296","1197","314","68","18","1093","250","1270","418","(X=1270, Y=418)","1270","418","-104","-64","177","168"
"14","14","1000","1080","910012","910052","(X=1008, Y=126)","0","0","1","0","0","-182","-96","344","161","21","26","0","1023","206","1061","175","38","-31","879","79","1223","240","(X=1223, Y=240)","1223","240","-182","-96","344","161"
"15","15","1000","1090","910013","910052","(X=937, Y=398)","0","0","1","0","0","-109","-98","199","163","25","26","0","940","458","992","448","52","-10","883","350","1082","513","(X=1082, Y=513)","1082","513","-109","-98","199","163"
"16","16","1000","1100","910014","910053","(X=1036, Y=571)","0","0","1","910020","3005","-133","-96","265","185","31","75","1","1040","586","1086","622","46","36","953","526","1218","711","(X=1218, Y=711)","1218","711","-133","-96","265","185"
