"Name","RowId","MiniGroupId","MiniStageId","BidoMatrixStageId","MiniMapCoordinateLT","MiniMapCoordinateRB","MiniMapZoom","UserMovingRaderZoom","MiniMapResource","ElliteCheck","DefaultOpenList","ElliteStageId"
"5","5","1010","100004010","0","(X=-14150, Y=-17690, Z=0)","(X=18850, Y=15310, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_BicheonCave","0","0","0"
"6","6","1010","100004020","0","(X=-15600, Y=280, Z=0)","(X=5400, Y=21280, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_BicheonJail","0","0","0"
"7","7","1020","100002010","0","(X=-18000, Y=-20480, Z=0)","(X=20000, Y=17520, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Tutorial","0","0","0"
"8","8","1021","100002012","0","(X=-18000, Y=-20480, Z=0)","(X=20000, Y=17520, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Tutorial","0","0","0"
"9","9","1030","100002020","0","(X=-16390, Y=-18430, Z=0)","(X=18610, Y=16570, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_R_Coast","0","0","0"
"10","10","1040","101003010","0","(X=-32000, Y=-41000, Z=0)","(X=38000, Y=29000, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Eunhaeng01","0","2","0"
"11","11","1040","101005010","0","(X=-7730, Y=-11920, Z=0)","(X=13070, Y=8880, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Cave","0","0","0"
"12","12","1041","200031010","0","(X=-7730, Y=-11920, Z=0)","(X=13070, Y=8880, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Cave","0","0","0"
"13","13","1042","201500001","0","(x=-22320, y=-29650, z=0)","(x=19680, y=12350, z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Occupation_Eunhaeng","0","0","0"
"14","14","1050","101001010","0","(X=-14720.0, Y=-18800.0, Z=0)","(X=12080.0, Y=8000.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/TW_Bicheon_renewal","0","4","0"
"15","15","1050","101005020","0","(X=-4950, Y=-3990, Z=0)","(X=3450, Y=4410, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Inn","0","4","0"
"16","16","1050","101003020","0","(X=-24890, Y=-32540, Z=0)","(X=25110, Y=17460, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Backstreet_x1_5","0","2","200022010"
"17","17","1050","101005040","0","(X=-9570, Y=-9980, Z=0)","(X=13630, Y=13220, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Wall","0","0","0"
"18","18","1050","200022010","0","(X=-24890, Y=-32540, Z=0)","(X=25110, Y=17460, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Backstreet_x1_5","1","2","101003020"
"19","19","1060","101003030","0","(X=-38140, Y=-42980, Z=-20000)","(X=17860, Y=13020, Z=-20000)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Bicheon","0","4","0"
"20","20","1061","201500002","0","(X=-14160.0, Y=-30420.0, Z=0)","(X=14840.0, Y=-1420.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Occupation_Bicheon_R","0","0","0"
"21","21","1070","10010","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"22","22","1070","10011","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"23","23","1070","10012","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"24","24","1070","10013","0","(X=-23990, Y=-23930, Z=0)","(X=24010, Y=24070, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A02","0","2","0"
"25","25","1080","101004010","0","(X=-45240,Y=-35160, Z=0)","(X=5760,Y=15840, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma01_01","0","2","200022020"
"26","26","1080","101004020","0","(X=-23130, Y=-24440, Z=0)","(X=26070, Y=24760, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma01_02","0","2","200022021"
"27","27","1080","200022020","0","(X=-45240,Y=-35160, Z=0)","(X=5760,Y=15840, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma01_01","1","2","101004010"
"28","28","1080","200022021","0","(X=-23130, Y=-24440, Z=0)","(X=26070, Y=24760, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma01_02","1","2","101004020"
"29","29","1090","101004030","0","(X=-25050, Y=-25650, Z=0)","(X=24950, Y=24350, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma02_01","0","2","200022030"
"30","30","1090","101004040","0","(X=-21820, Y=-23060, Z=0)","(X=22180, Y=20940, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma02_02","0","2","200022031"
"31","31","1090","101003040","0","(X=-7940, Y=-10960, Z=0)","(X=10860, Y=7840, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Cliff_01","0","0","0"
"32","32","1090","200022030","0","(X=-25050, Y=-25650, Z=0)","(X=24950, Y=24350, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma02_01","1","2","101004030"
"33","33","1090","200022031","0","(X=-21820, Y=-23060, Z=0)","(X=22180, Y=20940, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Oma02_02","1","2","101004040"
"34","34","1100","201003010","0","(X=-27410, Y=-28030, Z=0)","(X=27189.99, Y=26570, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under01_S","0","2","0"
"35","35","1100","201003011","0","(X=-21740.0, Y=-24220, Z=0)","(X=27260.0, Y=24780, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under03_S","0","2","0"
"36","36","1100","201003012","0","(X=-20990, Y=-21550, Z=0)","(X=22410, Y=21850, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under02_S","0","2","0"
"37","37","1100","201003013","0","(X=-23550, Y=-25360, Z=0)","(X=35450, Y=33640, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under04_S","0","2","0"
"38","38","1100","11002","0","(X=-35630, Y=-62630, Z=0)","(X=36370, Y=9370, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Special02","0","2","0"
"39","39","1110","102003010","0","(X=-50580, Y=-39200, Z=0)","(X=7820, Y=19200, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_R_Forest","0","2","0"
"40","40","1090","300430","0","(X=-50580, Y=-39200, Z=0)","(X=7820, Y=19200, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_R_Forest","0","2","0"
"41","41","1110","103003040","0","(X=-6900, Y=-5370, Z=0)","(X=8500, Y=10030, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Cliff_02","0","2","0"
"42","42","1110","102004050","0","(X=-21500.0, Y=-19990.0, Z=0)","(X=10700.0, Y=12210.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_UmaSide","0","0","0"
"43","43","1110","103003060","0","(X=2280.0, Y=-10540.0, Z=0)","(X=12480.0, Y=-340.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Cave2","0","1","0"
"44","44","1120","10020","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"45","45","1120","10021","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"46","46","1120","10022","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"47","47","1120","10023","0","(X=-23970, Y=-23970, Z=0)","(X=24030, Y=24030, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B02","0","2","0"
"48","48","1130","102004010","0","(X=-20980.0, Y=-19120.0, Z=0)","(X=17420.0, Y=19280.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_01","0","2","200022040"
"49","49","1130","102004040","0","(X=-32030.0, Y=-25010.0, Z=0)","(X=14370.0, Y=21390.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_02","0","2","200022041"
"50","50","1130","102004070","0","(X=-19160.0, Y=-13330.0, Z=0)","(X=33240.0, Y=39070.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_03","0","2","200022042"
"51","51","1130","102005020","0","(X=-10530, Y=-10960, Z=0)","(X=11470, Y=11040, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Uma_Boss","0","0","0"
"52","52","1130","200022040","0","(X=-20980.0, Y=-19120.0, Z=0)","(X=17420.0, Y=19280.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_01","1","2","102004010"
"53","53","1130","200022041","0","(X=-32030.0, Y=-25010.0, Z=0)","(X=14370.0, Y=21390.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_02","1","2","102004040"
"54","54","1130","200022042","0","(X=-19160.0, Y=-13330.0, Z=0)","(X=33240.0, Y=39070.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Uma_03","1","2","102004070"
"55","55","1141","300120","0","(X=-9970.0, Y=-6850, Z=0)","(X=10030.0, Y=13150.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/RD_DarkStoneRoom","0","0","0"
