"Name","StageID","StageType","ChannelId","StageNameSID","QuestStageNameSID","LoadingId","ThemeID","CameraPreset","BlockSize","ChaVRadius","RevivalId","KickRevivalId","RestartWarpLocation","KillZone","StageLevel","CombatPower","EnableLevel","EnableQuest","EnableCombatPower","EnableGreatBuildingID","EnableBuildingStep","EnablePkGrade","AirWalkban","DirectWarpAble","BoardOnOff","CanMeditation","GuildSanctumId","SummonItemUseType","EXPPenalty","ReturnWarpLocation","ReturnWarpItemUseId","DirectWarpNeedCostId","DirectWarpNeedCostCount","DirectWarpNeedItemId","DirectWarpNeedItemCount","DirectWarpNeedItemUseId","WaitingWarpLocation","PkOnOff","PkOnOffNonPK","PKGuardOff","PKtendency","Durability","StageRule","DeathPenalty_Durability","DeathPenalty_Injure","DeathPenalty_Steal","DeathPenalty_StealValue","DeathPenalty_EXP","IconId","MapMiniInfo","GraphicLevel","TriggerLevel","Gendata","GenDoorData","DungeonScriptData","SpawnDataID","NaviMeshId_Main","NaviMeshId_Sub01","IsPossibleMacroMode","StandardPosition_X","StandardPosition_Y","WayPoint","SafetyArea","SectorGrade","GetWayType","GatheringZone","MiningZone","SpiritZone","GetWayCoordinate","SequenceType","SequencePlayId","Repeat","DominionId_Inter","DominionId_Siege","DominionId_StrongPoint","IsInterServer","DominionId_Grade1","DominionId_Grade2","DominionId_Grade3","GuildWarPlunderId","SeverVisit","SeverVisitRevivalId","SeverVisitNoVitality","ConquerSeverNoVitality","Mapmark","Union_Zone","GuildAltarId","PkPenalty","PkDeathPanalty","PkSteal","PkDurability"
"1","1","10","0","0","0","101","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","/Game/Maps/OutGame/Level_Logo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","10","0","0","0","101","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Level_Login","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","10","0","0","0","102","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","/Game/Maps/OutGame/Level_Character_Select","/Game/Maps/OutGame/Customize_Level","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","10","0","0","0","101","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","L01_S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","5","10","0","0","0","101","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","StageSelect","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","6","10","0","0","0","101","0","0","6400","0","1000060","0","0","-3000","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Level_ServerSelect","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","101","21","90001","420181","420181","101","0","100","6400","0","13000001","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","1006","622000001","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_101.json","/Game/Maps/PVE/Siege/Siege_01_M.Siege_01_M","/Game/Maps/PVE/TRIGGER/TRG_Siege_01","GENDATA_101.json","0","0","101","101","0","0","-25000","-24620","0","SAFE_AREA_101.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","201","22","90011","420272","420272","101","0","100","6400","0","13000301","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_201.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_201.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_201.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202","202","22","90011","420273","420273","101","0","100","6400","0","13000302","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_202.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_202.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_202.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"203","203","22","90011","420274","420274","101","0","100","6400","0","13000303","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_203.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_203.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_203.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
