CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player1,4,150,101001010,-1103,-9700
player2,2,9,101001010,-1242,2851
player3,4,11,101001010,-4096,-3447
player4,2,9,101005010,6693.4,-350.157
player5,4,11,101003010,1428.46,11139.5
player6,3,28,101003040,-355.666,-4499.94
player7,3,8,101003010,-15971.2,4612.36
player8,5,11,101003030,-4704.84,-7273.65
player9,4,20,101003030,-16284.9,-7885.02
player10,2,21,101004040,-12365.5,9843.12
player11,1,100,101003030,-7388.5,-21878.3
player12,4,11,101001010,-1606.74,4362.92
player13,1,1,100002010,-1810,290
player14,1,2,100002010,-14838.6,-11359.9
player15,1,20,103003010,-16720.3,-12973.1
player16,2,22,100002020,54.1301,3492.65
player17,1,9,100002010,-3312.09,-3064.56
player18,5,7,101003010,-370.312,20984
player19,5,10,101003010,15170.6,-14917.2
player20,5,1,100002010,8701.09,-9984.18
player21,2,120,101003030,-16888.3,-14776
player22,3,14,101003030,-17383.1,-11976.1
player23,2,99,201003010,-1190.98,10327.6
player24,3,3,100002010,-1795.95,5724.92
player25,2,11,101003010,-2378.81,-8722.14
player26,3,2,100002010,-12741.4,-10818.7
player27,1,11,101003010,214.798,-16236.2
player28,3,20,100002020,-145.875,-10806.2
player29,2,1,100002010,-996.618,-2344.71
player30,5,17,101004010,6366.01,-7989.79
player31,1,12,101003030,-3934.48,-29353.1
player32,1,7,101003010,21541.1,17268.1
player33,1,50,100002020,790,-11320
player34,2,7,101003010,-370.582,20984.2
player35,1,20,101003030,4438.84,-31326.2
player36,4,100,101003010,-2334.05,17834.7
player37,1,9,101005010,7544.44,-2942.41
player38,2,14,101003010,-2040,17950
player39,3,12,100002020,790,-11320
player40,1,4,100002010,3283.42,-4164.59
player41,3,13,101005040,4052.41,-2154.42
player42,1,100,101004020,-7089.7,7116.45
player43,2,1,100002010,5372.75,10174.8
player44,5,9,900000000,-2830.69,-19982.3
player45,2,24,102003010,-3417.55,-19863
player46,1,14,101003030,-14614.7,-22355.9
player47,4,60,101003030,-7548.14,-30953.9
player48,3,4,100002012,2850,-3920
player49,1,70,101003010,18285,16501.3
player50,4,1,100002010,2820,-3750
player51,5,1,100002010,-1810,290
player52,1,3,100002010,-6529.43,-11001.8
player53,4,1,100002010,2820,-3750
player54,4,1,100002010,2820,-3750
player55,4,1,100002010,2820,-3750
player56,4,1,100002010,2820,-3750
player57,3,4,100002012,-1550.3,-3256.06
player58,4,1,100002010,2820,-3750
player59,4,13,900000000,-8377.65,-13771.9
player60,2,9,101003010,-2090.94,-8852.62
player61,1,50,101003030,3839.02,-30790.4
player62,1,1,100002010,-1810,290
player63,1,1,100002010,8642.43,-10375.7
player64,1,10,101003010,15171.4,-14917.9
player65,4,1,100002010,2186.12,6046.71
player66,2,4,100002012,3642.86,-2626.25
player67,1,16,101001010,-2572.4,3632.54
player68,2,15,101003030,-7202.88,-21844.3
player69,3,16,101004020,15127.2,-9810.99
player70,4,25,102003010,-15715.9,-30124.6
player71,5,30,103003010,-14169.2,-2421.29
player72,5,1,100002010,2580.24,9643.93
player73,2,100,101003030,-7513.37,-30352
player74,5,3,100002010,8569.52,11569.7
player75,1,21,101003030,3367.25,-27974.9
player76,1,60,101003030,-17303.1,-14403.6
player77,1,10,101003010,20880.7,-27724.2
player78,4,100,101003010,14780.8,-14104
player79,3,21,101003040,-5136.55,-3201.24
player80,1,20,101003010,4688.57,-4524.98
player81,3,1,100002012,3596.89,-2642.65
player82,4,2,100002010,7629.45,9903.78
player83,3,1,100002010,9017.17,-9354.54
player84,4,50,101005040,3545.31,3693.07
player85,1,1,101003010,-15405.4,19628.7
player86,1,1,100002010,6398.31,10631.2
player87,2,3,100002010,3460,-4120
player88,5,1,100002010,-1810,290
player89,1,1,100002010,10073.4,-7145.07
player90,1,1,100002010,-1810,290
player91,1,31,101003010,-17119.4,-4023.95
player92,1,1,100002010,-1290.2,6589.1
player93,3,2,100002010,-14127.5,-11249.7
player94,5,1,100002010,-1810,290
player95,2,30,100002010,-1015.49,-25.2121
player96,5,18,101004020,-17254.6,10724.7
player97,2,2,100002010,-14950.8,-11497.4
player98,3,40,101001010,-1666.78,1131.88
player99,1,18,101003010,12733.5,1185.45
player100,2,10,101003010,-17346,-9569.39
player101,3,65,101003030,-5043.78,-33534.6
player102,2,60,102004040,9033.43,-14099.6
player103,1,60,101003030,-15702.2,-15808.7
player104,3,1,100002012,2850,-3920
player105,3,1,100002010,-1810,290
player106,1,60,103003010,-15630,7599.81
player107,1,18,101004020,-12189.1,4129.09
player108,3,100,101003030,-22360.9,-13508.8
player109,5,11,101003030,-7107.46,-32094
player110,4,3,101003010,1530.95,-6720.04
player111,2,19,101003030,12361.3,-42135.1
player112,4,50,101003010,1536.55,-7199.61
player113,3,1,100002010,-1810,290
player114,3,1,100002010,90.9255,319.644
player115,4,2,100002010,-12762.7,-11545.8
player116,1,50,101005040,3321.62,2040.75
player117,4,6,101003010,-16448.9,17797.9
player118,5,7,101003010,-2009.02,17455.8
player119,3,1,100002010,-1147.59,-345.242
player120,2,1,100002010,10330,-6740
player121,3,99,101004010,-21037.1,2520.56
player122,4,7,101003010,-3763.08,17266.7
player123,2,4,100002010,3040,-3752
player124,3,1,100002010,10330,-6740
player125,1,1,100002010,10330,-6740
player126,3,1,100002010,10330,-6740
player127,3,50,201003030,3269.35,643.403
player128,2,1,100002010,378.072,-773.567
player129,5,40,101003010,-7877.55,-16801.5
player130,4,3,100002010,-1437.24,6055.28
player131,4,60,100002020,432.953,4735.79
player132,3,1,100002010,-1810,290
player133,4,20,100002020,1563.6,6528.44
player134,5,7,101003010,7137.54,6624.62
player135,5,9,101003010,-6869.92,5150.67
player136,4,13,101005040,-1298.32,-3167.32
player137,2,3,100002010,-9940.75,-5673.74
player138,2,8,101003010,-1338.09,5772.29
player139,5,7,101003010,17665.5,19382.8
player140,4,6,101003010,-7322.48,19221.5
player141,2,7,101003010,18138.5,18168.6
player142,1,4,100002020,-2314.27,-10260.1
player143,1,5,100002020,-95.0195,5819.95
player144,4,5,100002020,-4141.47,-9615.5
player145,1,28,101001010,-1550,-4110
player146,1,1,100002010,2820,-3750
player147,2,1,100002010,4068.36,8697.96
player148,3,4,100002010,4237.56,-2255.79
player149,2,12,101003020,-1792.9,-923.657
player150,4,8,101003010,-15713.6,2021.45
player151,5,25,102003010,-6661.48,-13754.2
